#! FIELDS cv1 cv2 file.free der_cv1 der_cv2
#! SET min_cv1 -pi
#! SET max_cv1 pi
#! SET nbins_cv1  60
#! SET periodic_cv1 true
#! SET min_cv2 -pi
#! SET max_cv2 pi
#! SET nbins_cv2  60
#! SET periodic_cv2 true
   -3.141592654   -3.141592654   15.959725596  -46.262526229   14.823448420
   -3.036872898   -3.141592654   11.607472147  -36.726275834   14.798107354
   -2.932153143   -3.141592654    8.284472365  -26.683661497   14.908835105
   -2.827433388   -3.141592654    6.014985311  -16.761187818   15.259458986
   -2.722713633   -3.141592654    4.731558298   -7.935695024   15.930488207
   -2.617993878   -3.141592654    4.300899412   -0.546284685   16.810756401
   -2.513274123   -3.141592654    4.555111825    5.068715841   17.718528582
   -2.408554368   -3.141592654    5.305927585    8.948315384   18.491979290
   -2.303834613   -3.141592654    6.374796991   11.165634559   18.979032850
   -2.199114858   -3.141592654    7.600226429   12.050727990   19.359232387
   -2.094395102   -3.141592654    8.865069368   11.951768914   19.666787961
   -1.989675347   -3.141592654   10.094401604   11.433638797   20.082367485
   -1.884955592   -3.141592654   11.248540140   10.510543180   20.524735147
   -1.780235837   -3.141592654   12.271332720    9.001257725   21.022922688
   -1.675516082   -3.141592654   13.113316775    7.104445293   21.458660019
   -1.570796327   -3.141592654   13.781486619    5.858701588   22.013106887
   -1.466076572   -3.141592654   14.427507994    6.976926878   23.198506681
   -1.361356817   -3.141592654   15.372990481   11.767847185   25.416413333
   -1.256637061   -3.141592654   17.046039971   20.827973661   29.012832598
   -1.151917306   -3.141592654   19.844857892   32.965027595   33.917723895
   -1.047197551   -3.141592654   23.987886227   46.145200838   39.467954971
   -0.942477796   -3.141592654   29.460241686   57.920535635   44.688140610
   -0.837758041   -3.141592654   35.996009057   66.231353191   48.561159611
   -0.733038286   -3.141592654   43.174189615   70.064180250   50.188238366
   -0.628318531   -3.141592654   50.490488042   68.864959776   49.117652551
   -0.523598776   -3.141592654   57.434957969   63.086105053   45.153881695
   -0.418879020   -3.141592654   63.577103910   53.724557532   38.998781232
   -0.314159265   -3.141592654   68.608863231   42.115965774   31.333442436
   -0.209439510   -3.141592654   72.344513719   29.129571929   23.017266916
   -0.104719755   -3.141592654   74.681841925   15.393639702   14.668269793
    0.000000000   -3.141592654   75.550868748    1.095749153    6.565448779
    0.104719755   -3.141592654   74.868906479  -14.219932536   -1.183336742
    0.209439510   -3.141592654   72.545949727  -30.119595064   -8.580008126
    0.314159265   -3.141592654   68.585013377  -45.269977251  -15.342171809
    0.418879020   -3.141592654   63.171844855  -57.442919627  -21.070736107
    0.523598776   -3.141592654   56.729787928  -64.516362233  -25.180441862
    0.628318531   -3.141592654   49.907418843  -64.502934062  -27.044086859
    0.733038286   -3.141592654   43.477318078  -57.119644331  -26.414702193
    0.837758041   -3.141592654   38.157609300  -43.600329529  -23.633470550
    0.942477796   -3.141592654   34.479226402  -26.254145001  -19.379770055
    1.047197551   -3.141592654   32.695541303   -7.861571882  -14.662988007
    1.151917306   -3.141592654   32.789513509    9.308604981  -10.442824714
    1.256637061   -3.141592654   34.544611593   23.679153886   -7.310320173
    1.361356817   -3.141592654   37.630277762   34.680197248   -5.354730870
    1.466076572   -3.141592654   41.690517334   42.290406724   -4.392752006
    1.570796327   -3.141592654   46.364064116   46.315099381   -3.935509987
    1.675516082   -3.141592654   51.243345749   46.139764702   -3.691659522
    1.780235837   -3.141592654   55.867268234   41.368382100   -3.300853561
    1.884955592   -3.141592654   59.739267355   31.865844802   -2.574987000
    1.989675347   -3.141592654   62.412251278   18.677882019   -1.598462702
    2.094395102   -3.141592654   63.569861520    3.231977858   -0.272457579
    2.199114858   -3.141592654   63.065059746  -12.758216897    1.292727597
    2.303834613   -3.141592654   60.934832165  -27.674964138    3.163582847
    2.408554368   -3.141592654   57.333136005  -40.701802308    5.339463697
    2.513274123   -3.141592654   52.491179578  -51.232625356    7.754209015
    2.617993878   -3.141592654   46.705564769  -58.684592037   10.081313160
    2.722713633   -3.141592654   40.322525522  -62.613217352   12.095051880
    2.827433388   -3.141592654   33.713981892  -63.006881055   13.579885226
    2.932153143   -3.141592654   27.243997994  -60.040118150   14.436669055
    3.036872898   -3.141592654   21.236730190  -54.228066072   14.815200205

   -3.141592654   -3.036872898   17.782893723  -46.268696733   19.872019862
   -3.036872898   -3.036872898   13.423893522  -36.778484193   19.759438570
   -2.932153143   -3.036872898   10.106769467  -26.552612144   19.729296813
   -2.827433388   -3.036872898    7.861403506  -16.377816420   19.853937082
   -2.722713633   -3.036872898    6.629445316   -7.329497252   20.180637606
   -2.617993878   -3.036872898    6.271708980    0.170438926   20.699903356
   -2.513274123   -3.036872898    6.604467700    5.797397393   21.301083611
   -2.408554368   -3.036872898    7.428572580    9.576680217   21.899985556
   -2.303834613   -3.036872898    8.549884258   11.600328869   22.408128664
   -2.199114858   -3.036872898    9.811033978   12.343403292   22.799388194
   -2.094395102   -3.036872898   11.109413887   12.389860352   23.217867109
   -1.989675347   -3.036872898   12.389987126   11.963491284   23.712939603
   -1.884955592   -3.036872898   13.591112680   10.938245762   24.143802140
   -1.780235837   -3.036872898   14.658477288    9.320383930   24.530106746
   -1.675516082   -3.036872898   15.534802350    7.489211024   24.751167394
   -1.570796327   -3.036872898   16.265813077    6.764356100   25.420399066
   -1.466076572   -3.036872898   17.047075469    8.775670436   26.880867520
   -1.361356817   -3.036872898   18.249685941   14.911579866   29.532527802
   -1.256637061   -3.036872898   20.324569684   25.319238252   33.555606659
   -1.151917306   -3.036872898   23.640192942   38.254885135   38.479830249
   -1.047197551   -3.036872898   28.340636322   51.309994192   43.423737776
   -0.942477796   -3.036872898   34.299035735   61.883835630   47.422275034
   -0.837758041   -3.036872898   41.152783762   68.193495150   49.548274913
   -0.733038286   -3.036872898   48.400291847   69.368647251   49.191450490
   -0.628318531   -3.036872898   55.496666463   65.379612037   46.069928385
   -0.523598776   -3.036872898   61.947730462   57.278065808   40.702534571
   -0.418879020   -3.036872898   67.390308143   46.275195755   33.595735741
   -0.314159265   -3.036872898   71.595355214   33.871449409   25.567645164
   -0.209439510   -3.036872898   74.464411470   20.833213777   17.378740088
   -0.104719755   -3.036872898   75.945598407    7.379673931    9.463761844
    0.000000000   -3.036872898   75.996782644   -6.535864577    1.964516106
    0.104719755   -3.036872898   74.537547333  -21.435428527   -5.088250518
    0.209439510   -3.036872898   71.485529769  -36.819241939  -11.633926373
    0.314159265   -3.036872898   66.870474742  -51.061145861  -17.421693078
    0.418879020   -3.036872898   60.915845909  -61.902346147  -21.937073074
    0.523598776   -3.036872898   54.108339056  -66.963596440  -24.787291988
    0.628318531   -3.036872898   47.151138624  -64.637955906  -25.537803373
    0.733038286   -3.036872898   40.822159283  -55.073108512  -24.251559597
    0.837758041   -3.036872898   35.811627490  -39.867815267  -21.184858685
    0.942477796   -3.036872898   32.577729326  -21.643468040  -16.997959416
    1.047197551   -3.036872898   31.283641786   -3.274671873  -12.472619960
    1.151917306   -3.036872898   31.816975356   13.027354714   -8.349690990
    1.256637061   -3.036872898   33.902648719   26.236850977   -5.215674013
    1.361356817   -3.036872898   37.194001981   36.110009825   -3.183660914
    1.466076572   -3.036872898   41.356207178   42.883894885   -2.180030235
    1.570796327   -3.036872898   46.061043890   46.402112073   -1.995726310
    1.675516082   -3.036872898   50.941523201   46.111422824   -2.171581902
    1.780235837   -3.036872898   55.571261493   41.596253008   -2.384080645
    1.884955592   -3.036872898   59.486375946   32.469655029   -2.221006432
    1.989675347   -3.036872898   62.245710848   19.744562032   -1.524282111
    2.094395102   -3.036872898   63.543890335    4.813047493   -0.116843387
    2.199114858   -3.036872898   63.234437526  -10.664084077    1.996484353
    2.303834613   -3.036872898   61.345568980  -25.291510152    4.695171770
    2.408554368   -3.036872898   58.015407140  -37.988706042    7.672723259
    2.513274123   -3.036872898   53.464544433  -48.529490587   10.760448430
    2.617993878   -3.036872898   47.955588453  -56.173565705   13.732292345
    2.722713633   -3.036872898   41.811176457  -60.577118812   16.265998908
    2.827433388   -3.036872898   35.381579286  -61.644008928   18.140822294
    2.932153143   -3.036872898   29.017425810  -59.345622602   19.275833251
    3.036872898   -3.036872898   23.053612646  -54.052597601   19.804877782

   -3.141592654   -2.932153143   20.078126659  -46.341982548   23.737444952
   -3.036872898   -2.932153143   15.707008157  -36.930563518   23.566353202
   -2.932153143   -2.932153143   12.377304820  -26.604062062   23.431854721
   -2.827433388   -2.932153143   10.136016506  -16.275504937   23.367320915
   -2.722713633   -2.932153143    8.925904087   -7.020105204   23.494562540
