#r (Angstrom) g(r)
2.980000000000000426e-01 0.000000000000000000e+00
4.940000000000000502e-01 0.000000000000000000e+00
6.900000000000000577e-01 0.000000000000000000e+00
8.860000000000000098e-01 0.000000000000000000e+00
1.081999999999999851e+00 0.000000000000000000e+00
1.278000000000000025e+00 0.000000000000000000e+00
1.474000000000000199e+00 0.000000000000000000e+00
1.669999999999999929e+00 0.000000000000000000e+00
1.866000000000000103e+00 0.000000000000000000e+00
2.062000000000000277e+00 0.000000000000000000e+00
2.258000000000000007e+00 0.000000000000000000e+00
2.454000000000000625e+00 4.553478791325721309e-02
2.650000000000000355e+00 2.052136662900608588e+00
2.846000000000000085e+00 2.497145565019280422e+00
3.042000000000000259e+00 1.221101659621968372e+00
3.238000000000000433e+00 8.279625302311665047e-01
3.434000000000000163e+00 8.082758181553518773e-01
3.630000000000000338e+00 8.232864759389862952e-01
3.826000000000000512e+00 8.835274365450594969e-01
4.022000000000000242e+00 9.733411043948329011e-01
4.217999999999999972e+00 1.050746166060748443e+00
4.414000000000000590e+00 1.139735523873148804e+00
4.610000000000000320e+00 1.149449512233089887e+00
4.806000000000000938e+00 1.096812573894110354e+00
5.002000000000000668e+00 1.093139182606541526e+00
5.198000000000000398e+00 9.356094038793401069e-01
5.394000000000000128e+00 8.844156407046316337e-01
5.589999999999999858e+00 9.200605698525643472e-01
5.786000000000000476e+00 9.177890653916863650e-01
5.982000000000000206e+00 9.395175345986896964e-01
6.178000000000000824e+00 1.002327228692281968e+00
6.374000000000000554e+00 1.020641108558682397e+00
6.570000000000000284e+00 9.921177013970089442e-01
6.766000000000000014e+00 1.035853339198936629e+00
6.962000000000000632e+00 1.046275308323680431e+00
7.158000000000000362e+00 1.047057521068306185e+00
7.354000000000000981e+00 1.009746755629890691e+00
7.550000000000000711e+00 1.001078846799122068e+00
7.746000000000000441e+00 9.622635081233124055e-01
7.942000000000000171e+00 9.764674727434903279e-01
8.137999999999998124e+00 9.840607585572573868e-01
8.333999999999999631e+00 1.018307978749255271e+00
8.530000000000001137e+00 1.008059719218667771e+00
8.725999999999999091e+00 1.002918845798463021e+00
8.922000000000000597e+00 9.850166326386329274e-01
9.117999999999998550e+00 1.004339747136990812e+00
9.314000000000000057e+00 9.955646624555415380e-01
9.509999999999999787e+00 1.009858746982992495e+00
9.705999999999999517e+00 9.908913670560270948e-01
9.902000000000001023e+00 9.931855670544380565e-01
